"Stucco","","Bldg A","Soffit","9","3 - Stucco Soffit 18''","18.00000","237","SF","158","LF","0","IN",""
"Stucco","","Bldg A","Soffit","14","3 - Stucco Soffit 6''","6.00000","61","SF","123","LF","0","IN",""
"Stucco","","Bldg A","Soffit","17","3 - Stucco Soffit 6'","72.00000","274","SF","46","LF","0","IN",""
"Stucco","","Bldg A","Soffit","23","3 - Stucco Soffit 1'8''","20.00000","155","SF","93","LF","0","IN",""
"Stucco","","Bldg A","Soffit","26","3 - Stucco Soffit 5'","60.00000","98","SF","20","LF","0","IN",""
"Stucco","","Bldg B","Soffit","9","3 - Stucco Soffit 18''","18.00000","243","SF","162","LF","0","IN",""
"Stucco","","Bldg B","Soffit","14","3 - Stucco Soffit 6''","6.00000","54","SF","108","LF","0","IN",""
"Stucco","","Bldg B","Soffit","17","3 - Stucco Soffit 6'","72.00000","190","SF","32","LF","0","IN",""
"Stucco","","Bldg B","Soffit","23","3 - Stucco Soffit 1'8''","20.00000","209","SF","126","LF","0","IN",""
"Stucco","","Bldg B","Soffit","26","3 - Stucco Soffit 5'","60.00000","99","SF","20","LF","0","IN",""
"Stucco","","Bldg C","Soffit","9","3 - Stucco Soffit 18''","18.00000","213","SF","142","LF","0","IN",""
"Stucco","","Bldg C","Soffit","14","3 - Stucco Soffit 6''","6.00000","54","SF","108","LF","0","IN",""
"Stucco","","Bldg C","Soffit","17","3 - Stucco Soffit 6'","72.00000","142","SF","24","LF","0","IN",""
"Stucco","","Bldg C","Soffit","23","3 - Stucco Soffit 1'8''","20.00000","154","SF","92","LF","0","IN",""
"Stucco","","Bldg C","Soffit","26","3 - Stucco Soffit 5'","60.00000","98","SF","20","LF","0","IN",""
"Stucco","","Bldg A","Stucco","2","2 - Stucco","0","4532","SF","4532","SF","0","IN",""
"Stucco","","Bldg A","Stucco","8","2 - Stucco 18''","18.00000","360","SF","240","LF","0","IN",""
"Stucco","","Bldg A","Stucco","15","2 - Stucco 1' 8''","20.00000","393","SF","236","LF","0","IN",""
"Stucco","","Bldg A","Stucco","16","2 - Stucco 6'","72.00000","161","SF","27","LF","0","IN",""
"Stucco","","Bldg A","Stucco","25","2 - Stucco 6' 8''","80.00000","415","SF","62","LF","0","IN",""
"Stucco","","Bldg A","Stucco","27","2 - Stucco 5'","60.00000","176","SF","35","LF","0","IN",""
"Stucco","","Bldg B","Stucco","2","2 - Stucco","0","4550","SF","4550","SF","0","IN",""
"Stucco","","Bldg B","Stucco","8","2 - Stucco 18''","18.00000","358","SF","239","LF","0","IN",""
"Stucco","","Bldg B","Stucco","15","2 - Stucco 1' 8''","20.00000","360","SF","216","LF","0","IN",""
"Stucco","","Bldg B","Stucco","16","2 - Stucco 6'","72.00000","215","SF","36","LF","0","IN",""
"Stucco","","Bldg B","Stucco","25","2 - Stucco 6' 8''","80.00000","415","SF","62","LF","0","IN",""
"Stucco","","Bldg B","Stucco","27","2 - Stucco 5'","60.00000","132","SF","26","LF","0","IN",""
"Stucco","","Bldg C","Stucco","2","2 - Stucco","0","4160","SF","4160","SF","0","IN",""
"Stucco","","Bldg C","Stucco","8","2 - Stucco 18''","18.00000","359","SF","239","LF","0","IN",""
"Stucco","","Bldg C","Stucco","15","2 - Stucco 1' 8''","20.00000","293","SF","176","LF","0","IN",""
"Stucco","","Bldg C","Stucco","16","2 - Stucco 6'","72.00000","215","SF","36","LF","0","IN",""
"Stucco","","Bldg C","Stucco","25","2 - Stucco 6' 8''","80.00000","356","SF","53","LF","0","IN",""
"Stucco","","Bldg C","Stucco","27","2 - Stucco 5'","60.00000","133","SF","27","LF","0","IN",""
"Metals","","Bldg A","Flashing","19","5.1 - Popout Flashing 18''","18.00000","82","LF","123","SF","0","IN",""
"Metals","","Bldg A","Flashing","20","5.1 - Popout Flashing 6''","6.00000","41","LF","20","SF","0","IN",""
"Metals","","Bldg A","Flashing","24","5.1 - Popout Flashing 20''","20.00000","24","LF","39","SF","0","IN",""
"Metals","","Bldg B","Flashing","19","5.1 - Popout Flashing 18''","18.00000","82","LF","123","SF","0","IN",""
"Metals","","Bldg B","Flashing","20","5.1 - Popout Flashing 6''","6.00000","29","LF","15","SF","0","IN",""
"Metals","","Bldg B","Flashing","24","5.1 - Popout Flashing 20''","20.00000","33","LF","55","SF","0","IN",""
"Metals","","Bldg C","Flashing","19","5.1 - Popout Flashing 18''","18.00000","82","LF","123","SF","0","IN",""
"Metals","","Bldg C","Flashing","20","5.1 - Popout Flashing 6''","6.00000","29","LF","15","SF","0","IN",""
"Metals","","Bldg C","Flashing","24","5.1 - Popout Flashing 20''","20.00000","23","LF","39","SF","0","IN",""
"Metals","","Bldg A","Metal","10","5.2 - Downspout   2.8","338.00000","197","LF","7","EA","0","IN",""
"Metals","","Bldg A","Metal","11","5.2 - Downdrain Scupper","338.00000","7","EA","197","LF","0","IN",""
"Metals","","Bldg A","Metal","18","5.2 - Downdrain Thru Popout","338.00000","85","LF","3","EA","0","IN",""
"Metals","","Bldg B","Metal","10","5.2 - Downspout   2.8","338.00000","197","LF","7","EA","0","IN",""
"Metals","","Bldg B","Metal","11","5.2 - Downdrain Scupper","338.00000","7","EA","197","LF","0","IN",""
"Metals","","Bldg B","Metal","18","5.2 - Downdrain Thru Popout","338.00000","85","LF","3","EA","0","IN",""
"Metals","","Bldg C","Metal","10","5.2 - Downspout   2.8","338.00000","169","LF","6","EA","0","IN",""
"Metals","","Bldg C","Metal","11","5.2 - Downdrain Scupper","338.00000","6","EA","169","LF","0","IN",""
"Metals","","Bldg C","Metal","18","5.2 - Downdrain Thru Popout","338.00000","85","LF","3","EA","0","IN",""
"Fiber Cement","","Bldg A","Fiber Cement","3","4 - Fiber Cement Siding","0","802","SF","802","SF","0","IN",""
"Fiber Cement","","Bldg B","Fiber Cement","3","4 - Fiber Cement Siding","0","888","SF","888","SF","0","IN",""
"Fiber Cement","","Bldg C","Fiber Cement","3","4 - Fiber Cement Siding","0","818","SF","818","SF","0","IN",""
"Fiber Cement","","Bldg A","Trims","6","4.1 - Trim Garage 4''","4.00000","93","LF","31","SF","0","IN",""
"Fiber Cement","","Bldg A","Trims","7","4.1 - Trim Garage 6''","6.00000","129","LF","64","SF","0","IN",""
"Fiber Cement","","Bldg B","Trims","6","4.1 - Trim Garage 4''","4.00000","93","LF","31","SF","0","IN",""
"Fiber Cement","","Bldg B","Trims","7","4.1 - Trim Garage 6''","6.00000","146","LF","73","SF","0","IN",""
"Fiber Cement","","Bldg C","Trims","6","4.1 - Trim Garage 4''","4.00000","80","LF","27","SF","0","IN",""
"Fiber Cement","","Bldg C","Trims","7","4.1 - Trim Garage 6''","6.00000","118","LF","59","SF","0","IN",""
"Fiber Cement","","Bldg A","Wraps","12","5 - Fiber Cement Garage Wrap 23'4''","280.00000","93","LF","4","EA","0","IN",""
"Fiber Cement","","Bldg A","Wraps","13","5 - Fiber Cement Garage Wrap 27'4''","328.00000","82","LF","3","EA","0","IN",""
"Fiber Cement","","Bldg B","Wraps","12","5 - Fiber Cement Garage Wrap 23'4''","280.00000","70","LF","3","EA","0","IN",""
"Fiber Cement","","Bldg B","Wraps","13","5 - Fiber Cement Garage Wrap 27'4''","328.00000","109","LF","4","EA","0","IN",""
"Fiber Cement","","Bldg C","Wraps","12","5 - Fiber Cement Garage Wrap 23'4''","280.00000","70","LF","3","EA","0","IN",""
"Fiber Cement","","Bldg C","Wraps","13","5 - Fiber Cement Garage Wrap 27'4''","328.00000","82","LF","3","EA","0","IN",""
"Brick","","Bldg A","Brick","1","1 - Thin Brick","0","1788","SF","2314","SF","0","IN",""
"Brick","","Bldg A","Brick","22","1 - Thin Brick 2'","24.00000","97","SF","48","LF","0","IN",""
"Brick","","Bldg B","Brick","1","1 - Thin Brick","0","1783","SF","2329","SF","0","IN",""
"Brick","","Bldg B","Brick","22","1 - Thin Brick 2'","24.00000","97","SF","48","LF","0","IN",""
"Brick","","Bldg C","Brick","1","1 - Thin Brick","0","1624","SF","2084","SF","0","IN",""
"Brick","","Bldg C","Brick","22","1 - Thin Brick 2'","24.00000","80","SF","40","LF","0","IN",""
"Attachments","","Bldg A","Attachment","4","0 - Garage Door 14'","0","3","EA","0","IN","0","IN",""
"Attachments","","Bldg A","Attachment","5","0 - Garage Door 10''","0","4","EA","0","IN","0","IN",""
"Attachments","","Bldg B","Attachment","4","0 - Garage Door 14'","0","4","EA","0","IN","0","IN",""
"Attachments","","Bldg B","Attachment","5","0 - Garage Door 10''","0","3","EA","0","IN","0","IN",""
"Attachments","","Bldg C","Attachment","4","0 - Garage Door 14'","0","3","EA","0","IN","0","IN",""
"Attachments","","Bldg C","Attachment","5","0 - Garage Door 10''","0","3","EA","0","IN","0","IN",""
